state,ALL_CASES,FEMALE_BREAST,UTERINE_CERVIX,COLON_and_RECTUM,UTERINE_CORPUS,LEUKEMIA,LUNG_BRONCHUS,MELANOMA_OF_THE_SKIN,NON_HODGKIN_LYMPHOMA,PROSTATE,URINARY_BLADDER
Alabama,28950,4240,240,2330,760,840,4150,1420,990,4060,1100
Alaska,3090,470,50,290,110,90,400,120,130,460,150
Arizona,37490,5630,250,2840,1200,1110,4290,2340,1420,2800,1780
Arkansas,16580,2210,140,1440,510,560,2690,760,640,2680,740
California,186920,27700,1590,15360,6230,6030,18990,10710,8230,24550,7780
Colorado,26800,4180,170,1940,830,810,2690,1830,1130,2270,1210
Connecticut,21950,3490,120,1560,720,670,2580,930,950,1980,1160
Delaware,5870,930,50,440,220,210,840,400,240,700,300
Dist. of Columbia,3190,510,50,260,120,80,340,80,120,300,80
Florida,131470,19130,1040,11310,4520,4980,18560,8360,5420,11860,6450
Georgia,50450,8000,440,4450,1640,1800,7070,3050,2030,5400,2040
Hawaii,7120,1280,50,620,310,200,860,490,280,680,280
Idaho,8390,1340,50,630,310,340,1030,670,380,1370,460
Illinois,68560,11560,510,6030,2700,2380,9130,3750,2890,6990,3240
Indiana,35280,5820,270,3360,1330,1230,5500,2120,1550,2530,1710
Iowa,17810,2730,100,1540,660,730,2410,1070,830,1720,890
Kansas,15340,2420,110,1290,520,590,2000,870,650,2070,640
Kentucky,26400,3670,200,2320,890,940,4960,1310,1050,2190,1130
Louisiana,26800,3770,230,2340,700,830,3810,1020,1060,3380,1050
Maine,8920,1390,50,670,320,310,1400,510,400,660,560
Maryland,33140,5290,230,2620,1280,960,4040,1750,1280,3810,1390
Massachusetts,40020,6610,210,2840,1380,1140,5150,1640,1720,2710,2130
Michigan,58360,9310,360,5040,2200,1930,8070,3300,2530,4580,2930
Minnesota,30560,4740,140,2300,1080,1360,3600,1640,1360,1970,1400
Mississippi,17050,2370,150,1680,450,520,2520,650,570,1930,630
Missouri,35480,5350,260,3110,1180,1240,5490,1800,1430,3290,1570
Montana,5920,890,50,470,220,240,820,390,260,600,340
Nebraska,9780,1580,70,900,360,420,1290,580,460,750,470
Nevada,14810,2190,140,1340,420,530,1880,850,600,1180,770
New Hampshire,8610,1330,50,590,300,260,1140,450,370,1030,500
New Jersey,53400,8340,410,4250,2130,2070,6070,2850,2330,5710,2580
New Mexico,9460,1440,80,830,370,360,1070,630,400,520,410
New York,111870,17490,880,9150,4500,4540,13380,5150,5030,9700,5410
North Carolina,58690,8870,410,4310,1960,1960,8010,3550,2220,7490,2490
North Dakota,3940,590,50,350,130,170,430,230,180,360,190
Ohio,67150,10240,430,6200,2600,2100,9680,3750,2850,5340,3210
Oklahoma,20540,2980,170,1840,630,780,3220,860,850,1800,910
Oregon,23320,3390,150,1620,810,670,2900,1780,1010,1950,1140
Pennsylvania,79890,12070,540,6520,3280,3040,10380,4340,3430,7470,4230
Rhode Island,6540,1010,50,470,210,190,940,310,270,550,360
South Carolina,29830,4470,210,2370,930,1040,4360,1810,1100,3130,1270
South Dakota,4770,750,50,430,160,200,580,250,210,400,240
Tennessee,37350,5580,310,3290,1210,1280,6210,2070,1550,3160,1670
Texas,124890,18750,1290,10950,4090,4820,14750,4270,5430,10660,4470
Utah,11620,1660,70,770,420,480,780,1160,550,1080,450
Vermont,3920,620,50,280,130,130,510,250,170,210,230
Virginia,45440,7120,310,3540,1650,1400,5950,2810,1760,5440,2010
Washington,39160,5840,230,2800,1400,1370,4770,2790,1800,2470,1910
West Virginia,12440,1540,80,980,450,410,2010,650,470,1010,630
Wisconsin,34220,5270,190,2450,1290,1320,4150,1940,1480,5260,1710
Wyoming,2930,440,50,250,100,110,310,210,130,430,150
United States,1762450,268600,13170,145600,61880,61780,228150,96480,74200,174650,80470
